USM,UPM,FACTOR,REGION,ZONA,tipo.viv,NivInst,x,y,tipoViv,FACTORlog,y_w,FACTORcounts,ylogc,ylogcpred,ypred
9,23,146,1,1,3,0,0,151666.66666666666,3,0.003848339261681488,22143333.333333332,23,-1.4702906042174995,-0.018404903088628327,647792.7606645807
10,23,146,1,1,2,2,0,749833.3333333334,2,0.003848339261681488,109475666.66666667,23,0.1278752251127777,-0.018404903088628327,647792.7606645807
11,23,146,1,1,3,2,249600,611000,3,0.003848339261681488,89206000,23,-0.0768787753287441,-0.018404903088628327,647792.7606645807
12,23,146,1,1,3,3,0,202800,3,0.003848339261681488,29608800,23,-1.1797554627833122,-0.018404903088628327,647792.7606645807
1,24,161,1,1,3,2,0,1532916.6666666667,3,0.10164608253780827,246799583.33333334,24,0.8429517832505358,0.06190273966237322,701961.4402951547
3,24,161,1,1,3,1,0,724979.701093018,3,0.10164608253780827,116721731.8759759,24,0.09416792146998176,0.06190273966237322,701961.4402951547
4,24,161,1,1,3,1,0,452594.3378689866,3,0.10164608253780827,72867688.39690684,24,-0.3769795116111787,0.06190273966237322,701961.4402951547
5,24,161,1,1,3,3,0,1699100,3,0.10164608253780827,273555100,24,0.9458782435913733,0.06190273966237322,701961.4402951547
6,24,161,1,1,3,3,0,569166.6666666667,3,0.10164608253780827,91635833.33333334,24,-0.1478024317235036,0.06190273966237322,701961.4402951547
7,24,161,1,1,3,3,0,614348.8593947506,3,0.10164608253780827,98910166.36255483,24,-0.0714127927934296,0.06190273966237322,701961.4402951547
